Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"V Slot gantry wheel(625zz)","Gantry linear movement",14,8.46,"https://www.flyrobo.in/openbuilds-plastic-wheel-idler-pulley?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE8OP6QxygQu1YgTfEHvuoXvM&gclid=CjwKCAjw9NjRBhATEiwA_p2J8QGTEEEIZ1dfv8KfgR0Ng49gtRanAmdukoyFnAkNJ0cECkEtEJm02RoCes4QAvD_BwE","flyrobo"
"GT2 Timing Belt, 5M, 6mm width","Linear motion drive",1,4.66,"https://robu.in/product/5-meter-x-gt2-open-timing-belt-6mm-width/?gad_source=1&gad_campaignid=17427803012&gbraid=0AAAAADvLFWdPrAljERasEupxxQ-c5ODyD&gclid=CjwKCAjw9NjRBhATEiwA_p2J8W8TiT7rVNSo_hMI0i0-3jGSWh_hCjVlUf_nrh0P6dQweNCfycJ0HhoCdFYQAvD_BwE","robu"
"2040 Aluminum Extrusion, 1000mm V Slot","Main structural frame",5,62.55,"https://robu.in/product/easymech-1000-mm-20x40-4-v-slot-aluminium-extrusion-profile-black/","robu"
"20 Tooth 5mm Bore GT2 Timing Pulley","Belt drive transmission",6,2.09,"https://www.flyrobo.in/20-teeth-5mm-bore-gt2-black-timing-pulley-for-6mm-belt?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE8OP6QxygQu1YgTfEHvuoXvM&gclid=CjwKCAjw9NjRBhATEiwA_p2J8SdUwhJo0U_wVIlUSlG2aQ3nyiUvAJBt9r7wMYWKXMdBElK04fNV0hoCOnQQAvD_BwE","flyrobo"
"M5 X 100mm Hex","Structural fastening",1,0.00,"","Self - Sourced "
"M4 X 100mm Hex","Structural fastening",2,0.89,"https://onlyscrews.in/products/m4-x-100mm-hex-allen-socket-head-ss-304-screw-dia-4mm-length-100mm?currency=INR&country=IN&variant=50100898300217&stkn=6e84ebfba1b8&utm_campaign=sales_shopping_pfmax&gad_source=1&gad_campaignid=23146719598&gbraid=0AAAAA9sP2SSl4HgRihEwJBpJCj_UuavSl&gclid=CjwKCAjw9NjRBhATEiwA_p2J8U33y_23aXj6qecYVRSgVZABI_5vMMizr8iKm5fYs_kAK3pIwPY_uBoC0hUQAvD_BwE","onlyscrews"
"M5 Profile Nuts","Frame assembly hardware",20,1.90,"https://onlyscrews.in/products/m4-profile-nuts-mild-steel-with-nickel-plating-for-3030-series-t-nut-hammer-nut-1","onlyscrews"
"M4 Profile Nuts","Frame assembly hardware",20,1.84,"https://onlyscrews.in/products/m4-profile-nuts-mild-steel-with-nickel-plating-for-2020-series-t-nut-hammer-nut","onlyscrews"
"M3 Profile Nuts","Frame assembly hardware",20,1.80,"https://onlyscrews.in/products/m3-profile-nuts-mild-steel-with-nickel-plating-for-2020-series-t-nut-hammer-nut","onlyscrews"
"Cable with Connector for NEMA17 Stepper Motor","Motor connection",4,1.90,"https://robu.in/product/pure-copper-1000-mm-cable-with-connector-for-nema17-stepper-motor/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWdRG0rCC-w9yrGhKwdtsxu3w&gclid=CjwKCAjwuuPRBhAnEiwA2Ji8euXbJ3ClnqKgJD--M4510dq9MZgBy_y_kccCa_0XEcVQSvi95V8pAxoCj5UQAvD_BwE","robu"
